,name,lat,temp,humidity,cloudiness,wind_speed
129,Pemberton,-34.44,76.31,44,0,11.77
130,Beloha,-25.17,71.94,86,0,4.38
131,Qaanaaq,77.48,-4.56,92,32,8.41
132,Hobart,-42.88,62.6,59,75,9.17
133,Diu,20.71,63.35,68,0,5.17
134,Quimper,48.0,51.06,76,75,18.34
135,Lompoc,34.64,51.33,76,1,1.36
136,Garowe,8.41,66.86,94,92,6.62
137,Saskylakh,71.97,-11.09,56,24,3.38
138,Ambilobe,-13.19,69.51,88,0,3.71
139,Wilmington,39.75,27.21,63,1,3.36
140,Pirapora,-17.35,66.05,100,92,4.72
141,Nome,30.04,45.43,81,90,13.87
142,Monrovia,6.33,75.2,94,40,5.39
143,Bilibino,68.06,-39.08,0,32,2.04
144,Altay,47.83,-25.26,0,0,1.81
145,Airai,-8.93,80.31,86,24,2.04
146,Kodiak,39.95,24.19,53,1,5.82
147,Jalu,29.03,42.42,78,0,2.82
148,Dikson,73.51,15.24,97,76,31.12
149,Umm Kaddadah,13.6,53.9,41,0,10.42
150,Tolentino,43.21,33.8,100,0,4.7
151,Carutapera,-1.2,79.55,87,100,5.28
152,Tynda,55.15,-4.79,51,32,7.4
153,Talnakh,69.49,-2.09,71,76,18.59
154,Divnomorskoye,44.5,34.59,93,0,3.94
155,Pochutla,15.74,79.86,100,0,4.61
156,Etchoropo,26.77,63.84,89,0,11.77
157,Haines Junction,60.75,31.53,75,88,7.07
158,Venado Tuerto,-33.75,70.64,43,36,14.56
159,Palana,59.08,6.65,76,12,2.71
160,Levokumskoye,44.82,31.89,99,88,4.72
161,Tuensang,26.24,60.02,63,0,2.37
162,Bud,62.91,36.21,93,92,3.36
163,Champerico,16.38,69.8,73,5,4.7
164,Dataganj,28.03,53.76,88,0,2.82
165,Dangriga,16.97,80.31,84,0,11.65
166,Las Cruces,-33.5,55.4,93,0,2.71
167,Nikolskoye,59.7,28.4,86,90,11.18
168,Yeppoon,-23.13,84.2,48,75,17.22
169,Yaan,7.38,77.75,66,56,4.72
170,Vanavara,60.35,-21.8,31,64,3.04
171,Mount Gambier,-37.83,75.2,53,48,9.17
172,Vila,45.18,33.82,86,0,3.36
173,Mandalgovi,45.76,-13.25,53,0,3.6
174,Ponta do Sol,-20.63,61.64,72,0,12.66
175,Yakeshi,49.28,-9.29,63,0,6.96
176,Isangel,-19.55,78.24,100,0,22.17
177,Tasiilaq,65.61,17.6,52,36,4.7
178,Iqaluit,63.75,-5.81,76,75,3.36
179,Bongor,10.28,64.11,49,0,8.75
180,Druzhba,49.36,19.83,73,0,2.93
181,Severo-Kurilsk,50.68,31.26,100,44,4.5
182,Waingapu,-9.65,86.79,77,12,5.06
183,Torbay,47.66,26.6,100,90,12.75
184,Kupang,-10.16,88.68,82,8,6.4
185,Flin Flon,54.77,8.76,77,56,6.06
186,Sawtell,-30.38,79.97,61,0,18.34
187,Grand Valley,43.9,26.02,73,90,10.29
188,Norman Wells,65.28,12.2,92,20,5.82
189,Vila Franca do Campo,37.72,62.6,72,20,9.17
190,Port Blair,11.67,80.9,100,64,12.66
191,Sao Filipe,14.9,75.14,98,0,10.65
192,Totness,33.74,40.51,93,90,14.99
193,Shamary,57.34,17.27,87,80,3.15
194,Leningradskiy,69.38,1.38,100,44,14.0
195,Beringovskiy,63.05,3.14,100,44,21.72
196,Port Hardy,50.7,42.8,81,75,28.86
197,San Isidro,16.74,74.37,100,80,3.38
198,Nizwa,22.93,51.96,70,0,4.16
199,Mount Isa,-20.73,98.6,13,0,11.41
200,Sabang,13.72,82.52,90,56,12.1
201,Ambon,47.55,51.19,81,75,18.34
202,Port Elizabeth,39.31,28.26,84,1,5.82
203,Half Moon Bay,37.46,53.38,76,20,3.36
204,Tutoia,-2.76,75.81,95,12,4.94
205,Lokosovo,61.13,17.09,71,68,9.86
206,Braco do Norte,-28.27,51.96,86,0,5.73
207,George Town,5.42,85.01,74,75,4.7
208,Rome,41.89,41.13,86,0,3.36
209,Miri,10.31,56.96,62,0,3.6
210,Bahia Honda,22.9,74.01,92,0,5.84
211,Santa Cruz,36.97,52.52,87,1,2.37
212,Darhan,49.49,-12.44,71,64,2.93
213,Touros,-5.2,80.6,83,40,4.7
214,Verkhnyaya Inta,65.99,19.02,73,80,4.5
215,Tabou,4.42,82.56,100,0,8.75
216,Barrow,-38.31,77.57,34,32,18.81
217,Baindur,13.87,82.52,100,0,5.61
218,Dunda,30.62,53.6,76,0,3.36
219,Khatanga,71.98,-13.97,64,36,5.73
220,Kaitangata,-46.28,62.9,89,92,13.56
221,Margate,-43.03,62.6,59,75,9.17
222,Lebu,8.96,48.2,87,20,6.93
223,Tignere,7.37,60.74,66,12,3.15
224,Carballo,43.21,51.85,100,90,3.36
225,Puerto del Rosario,28.5,63.19,82,0,5.82
226,Qasigiannguit,68.82,5.0,71,0,6.93
227,Campbell River,50.02,40.44,93,90,5.82
228,Pangnirtung,66.15,-17.39,76,0,1.81
229,Dakar,14.69,73.45,68,20,11.41
230,Along,28.17,55.92,44,0,1.92
231,Kamien Pomorski,53.97,42.8,93,75,13.87
232,Jammalamadugu,14.85,80.6,69,20,3.36
233,Ostrovnoy,68.05,24.78,94,80,11.88
234,Lethem,3.38,79.91,68,12,11.1
235,Kahului,20.89,72.7,73,40,16.11
236,Rimbey,52.64,-0.41,77,5,4.7
237,Belyy Yar,53.6,-5.81,76,40,2.93
238,Launceston,-41.43,71.6,46,75,5.82
239,Bambous Virieux,-20.34,78.8,83,75,10.29
240,Kongoussi,13.32,58.17,35,0,7.96
241,Comodoro Rivadavia,-45.87,71.6,30,0,18.34
242,Kavaratti,10.57,83.69,100,0,6.29
243,Harrisonburg,38.45,29.79,61,1,4.7
244,Fortuna,38.18,49.1,81,0,6.93
245,Usinsk,66.0,17.36,84,88,11.65
246,Tamiahua,21.28,71.9,100,80,25.19
247,Ancud,-41.87,53.6,100,90,9.17
248,Cidreira,-30.17,64.11,71,0,15.46
249,Saint-Augustin,44.83,56.39,82,90,14.99
250,Pangai,-19.8,80.6,65,20,11.41
251,Grindavik,63.84,32.74,80,90,6.93
252,Porosozero,62.72,26.81,83,92,10.2
253,Ashqelon,31.67,55.4,87,40,3.36
254,Cayenne,4.94,73.4,94,20,8.19
255,Pokhvistnevo,53.65,21.81,89,92,7.18
256,Tottori,35.5,33.8,100,75,10.29
257,Tiksi,71.64,-38.9,0,24,3.15
258,Aku,7.36,77.07,65,56,6.4
259,Tautira,-17.73,84.2,70,40,13.87
260,Ashland,38.48,28.17,74,1,3.36
