,name,lat,temp,humidity,cloudiness,wind_speed
562,Laguna,27.52,57.86,87,0,4.5
563,Maine-Soroa,13.21,57.5,48,0,7.29
564,Chapada dos Guimaraes,-15.46,75.2,94,0,2.24
565,Inverness,57.48,41.67,80,36,8.05
566,Kenai,60.55,30.02,81,90,13.87
567,Banjar,-7.37,82.29,83,64,3.6
568,Whitehorse,60.72,35.6,64,75,21.92
569,Kinna,57.51,39.2,93,90,13.87
570,Manado,1.49,87.8,70,40,8.05
571,Christchurch,-43.53,75.2,60,32,4.7
572,Bowen,-20.01,77.0,88,90,18.34
573,Meulaboh,4.14,81.93,100,0,3.6
